4.12,-3.40,0.41,-0.34
4.02,-3.38,0.77,-0.64
2.97,-3.15,0.99,-0.89
3.80,-3.38,1.27,-1.14
4.37,-3.35,1.58,-1.36
3.76,-3.45,1.80,-1.57
3.88,-2.96,2.01,-1.71
3.77,-2.92,2.18,-1.83
3.45,-3.11,2.31,-1.96
3.76,-3.41,2.46,-2.10
3.97,-3.20,2.61,-2.21
3.59,-3.19,2.71,-2.31
3.56,-2.48,2.79,-2.33
3.59,-3.39,2.87,-2.43
3.69,-3.11,2.95,-2.50
4.02,-3.17,3.06,-2.57
3.92,-3.38,3.15,-2.65
3.84,-3.26,3.22,-2.71
3.85,-3.00,3.28,-2.74
3.64,-3.14,3.32,-2.78
4.17,-3.17,3.40,-2.82
2.95,-3.19,3.36,-2.86
3.69,-4.15,3.39,-2.99
4.19,-3.22,3.47,-3.01
3.59,-2.75,3.48,-2.98
3.87,-3.57,3.52,-3.04
3.78,-3.06,3.55,-3.04
3.54,-2.98,3.55,-3.04
3.58,-3.63,3.55,-3.10
3.74,-3.29,3.57,-3.12
3.70,-3.14,3.58,-3.12
4.43,-2.83,3.67,-3.09
3.10,-3.45,3.61,-3.13
4.02,-3.30,3.65,-3.14
3.70,-3.02,3.66,-3.13
3.82,-3.19,3.67,-3.14
3.87,-3.07,3.69,-3.13
3.80,-2.94,3.70,-3.11
3.50,-3.09,3.68,-3.11
3.83,-2.89,3.70,-3.09
4.03,-3.25,3.73,-3.10
3.84,-3.42,3.74,-3.14
3.77,-2.98,3.74,-3.12
2.95,-3.24,3.66,-3.13
3.75,-3.19,3.67,-3.14
3.79,-3.25,3.68,-3.15
3.35,-2.95,3.65,-3.13
3.87,-3.49,3.67,-3.16
3.85,-3.31,3.69,-3.18
3.59,-2.93,3.68,-3.15
3.76,-2.98,3.69,-3.14
3.72,-3.26,3.69,-3.15
3.66,-3.29,3.69,-3.16
4.08,-2.99,3.73,-3.14
3.73,-3.23,3.73,-3.15
3.84,-3.15,3.74,-3.15
3.80,-3.31,3.75,-3.17
3.47,-3.27,3.72,-3.18
3.67,-3.59,3.71,-3.22
3.68,-3.41,3.71,-3.24
